# Data exported by Green Light District
#
# Infrastructure: "untitled" by 
# Simulation: "untitled"
# Tracking data: "total waiting queue length"
# Measured: queue length (roadusers)
#
# Format: <Cycle>	<length>
#
1063653	168.0
1063657	169.0
1063661	171.0
1063665	169.0
1063669	172.0
1063673	172.0
1063677	170.0
1063681	169.0
1063685	170.0
1063689	170.0
1063693	168.0
1063697	170.0
1063701	170.0
1063705	169.0
1063709	167.0
1063713	168.0
1063717	169.0
1063721	168.0
1063725	172.0
1063729	170.0
1063733	168.0
1063737	166.0
1063741	167.0
1063745	169.0
1063749	167.0
1063753	168.0
1063757	167.0
1063761	165.0
1063765	167.0
1063769	168.0
1063773	166.0
1063777	162.0
1063781	161.0
1063785	158.0
1063789	157.0
1063793	160.0
1063797	160.0
1063801	159.0
1063805	159.0
1063809	157.0
1063813	157.0
1063817	153.0
1063821	151.0
1063825	149.0
1063829	151.0
1063833	155.0
1063837	152.0
1063841	155.0
1063845	158.0
1063849	159.0
1063853	157.0
1063857	155.0
1063861	154.0
1063865	153.0
1063869	151.0
1063873	149.0
1063877	150.0
1063881	145.0
1063885	144.0
1063889	145.0
1063893	145.0
1063897	143.0
1063901	142.0
1063905	143.0
1063909	142.0
1063913	143.0
1063917	141.0
1063921	138.0
1063925	138.0
1063929	141.0
1063933	144.0
1063937	143.0
1063941	144.0
1063945	142.0
1063949	144.0
1063953	146.0
1063957	145.0
1063961	146.0
1063965	148.0
1063969	149.0
1063973	151.0
1063977	151.0
1063981	149.0
1063985	150.0
1063989	149.0
1063993	149.0
1063997	149.0
1064001	147.0
1064005	146.0
1064009	143.0
1064013	142.0
1064017	143.0
1064021	144.0
1064025	144.0
1064029	145.0
1064033	147.0
1064037	145.0
1064041	142.0
1064045	142.0
1064049	144.0
1064053	144.0
1064057	147.0
1064061	151.0
1064065	154.0
1064069	156.0
1064073	153.0
1064077	152.0
1064081	156.0
1064085	161.0
1064089	161.0
1064093	163.0
1064097	162.0
1064101	161.0
1064105	161.0
1064109	161.0
1064113	161.0
1064117	160.0
1064121	163.0
1064125	163.0
1064129	163.0
1064133	163.0
1064137	162.0
1064141	161.0
1064145	161.0
1064149	159.0
1064153	158.0
1064157	159.0
1064161	160.0
1064165	161.0
1064169	161.0
1064173	160.0
1064177	161.0
1064181	159.0
1064185	157.0
1064189	155.0
1064193	156.0
1064197	156.0
1064201	153.0
1064205	154.0
1064209	157.0
1064213	154.0
1064217	156.0
1064221	159.0
1064225	159.0
1064229	159.0
1064233	160.0
1064237	158.0
1064241	157.0
1064245	159.0
1064249	158.0
1064253	160.0
1064257	161.0
1064261	160.0
1064265	156.0
1064269	156.0
1064273	153.0
1064277	149.0
1064281	148.0
1064285	145.0
1064289	142.0
1064293	144.0
1064297	142.0
1064301	139.0
1064305	136.0
1064309	135.0
1064313	135.0
1064317	133.0
1064321	133.0
1064325	129.0
1064329	125.0
1064333	124.0
1064337	122.0
1064341	122.0
1064345	122.0
1064349	119.0
1064353	118.0
1064357	116.0
1064361	117.0
1064365	114.0
1064369	112.0
1064373	108.0
1064377	108.0
1064381	107.0
1064385	108.0
1064389	108.0
1064393	106.0
1064397	105.0
1064401	104.0
1064405	105.0
1064409	106.0
1064413	103.0
1064417	103.0
1064421	103.0
1064425	100.0
1064429	97.0
1064433	97.0
1064437	96.0
1064441	94.0
1064445	92.0
1064449	91.0
1064453	88.0
1064457	88.0
1064461	84.0
1064465	83.0
1064469	81.0
1064473	79.0
1064477	76.0
1064481	73.0
1064485	71.0
1064489	67.0
1064493	65.0
1064497	66.0
1064501	66.0
1064505	67.0
1064509	65.0
1064513	65.0
1064517	66.0
1064521	65.0
1064525	64.0
1064529	63.0
1064533	61.0
1064537	59.0
1064541	57.0
1064545	53.0
1064549	51.0
1064553	51.0
1064557	51.0
1064561	50.0
1064565	49.0
1064569	49.0
1064573	48.0
1064577	46.0
1064581	44.0
1064585	43.0
1064589	44.0
1064593	42.0
1064597	41.0
1064601	39.0
1064605	38.0
1064609	37.0
1064613	35.0
1064617	34.0
1064621	33.0
1064625	31.0
1064629	29.0
1064633	29.0
1064637	27.0
1064641	27.0
1064645	25.0
1064649	24.0
1064653	21.0
1064657	19.0
1064661	20.0
1064665	18.0
1064669	17.0
1064673	16.0
1064677	14.0
1064681	13.0
1064685	12.0
1064689	11.0
1064693	9.0
1064697	8.0
1064701	10.0
1064705	6.0
1064709	5.0
1064713	4.0
1064717	2.0
1064721	0.0
1064725	1.0
1064729	0.0
1064733	0.0
1064737	1.0
1064741	0.0
1064745	0.0
1064749	0.0
1064753	0.0
1064757	0.0
1064761	0.0
1064765	0.0
1064769	0.0
1064773	0.0
1064777	0.0
1064781	0.0
1064785	0.0
1064789	0.0
1064793	0.0
1064797	0.0
1064801	0.0
1064805	0.0
1064809	0.0
1064813	0.0
1064817	0.0
1064821	0.0
1064825	0.0
1064829	0.0
1064833	0.0
1064837	0.0
1064841	0.0
1064845	0.0
1064849	0.0
1064853	0.0
1064857	0.0
1064861	0.0
1064865	0.0
1064869	0.0
1064873	0.0
1064877	0.0
1064881	0.0
1064885	0.0
1064889	1.0
1064893	0.0
1064897	0.0
1064901	0.0
1064905	0.0
1064909	1.0
1064913	0.0
1064917	0.0
1064921	1.0
1064925	0.0
1064929	0.0
1064933	0.0
1064937	0.0
1064941	0.0
1064945	0.0
1064949	0.0
1064953	0.0
1064957	0.0
1064961	0.0
1064965	0.0
1064969	0.0
1064973	0.0
1064977	0.0
1064981	0.0
1064985	0.0
1064989	0.0
1064993	0.0
1064997	0.0
1065001	0.0
1065005	0.0
1065009	1.0
1065013	0.0
1065017	0.0
1065021	0.0
1065025	0.0
1065029	0.0
1065033	0.0
1065037	0.0
1065041	0.0
1065045	0.0
1065049	0.0
1065053	0.0
1065057	0.0
1065061	0.0
1065065	0.0
1065069	0.0
1065073	0.0
1065077	0.0
1065081	0.0
1065085	0.0
1065089	0.0
1065093	1.0
1065097	0.0
1065101	0.0
1065105	1.0
1065109	0.0
1065113	0.0
1065117	1.0
1065121	0.0
1065125	0.0
1065129	0.0
1065133	0.0
1065137	0.0
1065141	0.0
1065145	0.0
1065149	0.0
1065153	0.0
1065157	0.0
1065161	0.0
1065165	0.0
1065169	0.0
1065173	0.0
1065177	1.0
1065181	0.0
1065185	1.0
1065189	0.0
1065193	0.0
1065197	0.0
1065201	0.0
1065205	0.0
1065209	0.0
1065213	0.0
1065217	1.0
1065221	0.0
1065225	1.0
1065229	0.0
1065233	0.0
1065237	1.0
1065241	1.0
1065245	0.0
1065249	0.0
1065253	0.0
1065257	0.0
1065261	0.0
1065265	0.0
1065269	0.0
1065273	1.0
1065277	0.0
1065281	0.0
1065285	0.0
1065289	0.0
1065293	0.0
1065297	0.0
1065301	0.0
1065305	0.0
1065309	0.0
1065313	1.0
1065317	0.0
1065321	0.0
1065325	0.0
1065329	0.0
1065333	0.0
1065337	0.0
1065341	0.0
1065345	0.0
1065349	0.0
1065353	0.0
1065357	0.0
1065361	0.0
1065365	0.0
1065369	1.0
1065373	0.0
1065377	1.0
1065381	1.0
1065385	1.0
1065389	0.0
1065393	0.0
1065397	0.0
1065401	0.0
1065405	0.0
1065409	0.0
1065413	0.0
1065417	0.0
1065421	0.0
1065425	0.0
1065429	0.0
1065433	0.0
1065437	0.0
1065441	0.0
1065445	0.0
1065449	0.0
1065453	0.0
1065457	0.0
1065461	0.0
1065465	0.0
1065469	0.0
1065473	0.0
1065477	1.0
1065481	0.0
1065485	0.0
1065489	0.0
1065493	0.0
1065497	0.0
1065501	1.0
1065505	1.0
1065509	0.0
1065513	0.0
1065517	0.0
1065521	0.0
1065525	0.0
1065529	0.0
1065533	0.0
1065537	0.0
1065541	0.0
1065545	0.0
1065549	0.0
1065553	1.0
1065557	0.0
1065561	0.0
1065565	0.0
1065569	0.0
1065573	0.0
1065577	0.0
1065581	0.0
1065585	0.0
1065589	0.0
1065593	0.0
1065597	0.0
1065601	0.0
1065605	0.0
1065609	0.0
1065613	0.0
1065617	0.0
1065621	0.0
1065625	0.0
1065629	1.0
1065633	0.0
1065637	0.0
1065641	0.0
1065645	0.0
1065649	0.0
1065653	0.0
1065657	0.0
1065661	0.0
1065665	0.0
1065669	1.0
1065673	0.0
1065677	0.0
1065681	0.0
1065685	0.0
1065689	1.0
1065693	0.0
1065697	1.0
1065701	0.0
1065705	0.0
1065709	0.0
1065713	0.0
1065717	0.0
1065721	0.0
1065725	0.0
1065729	0.0
1065733	0.0
1065737	0.0
1065741	0.0
1065745	1.0
1065749	0.0
1065753	0.0
1065757	0.0
1065761	0.0
1065765	0.0
1065769	0.0
1065773	0.0
1065777	0.0
1065781	0.0
1065785	0.0
1065789	0.0
1065793	0.0
1065797	0.0
1065801	0.0
1065805	0.0
1065809	0.0
1065813	0.0
1065817	0.0
1065821	0.0
1065825	0.0
1065829	0.0
1065833	0.0
1065837	0.0
1065841	0.0
1065845	0.0
1065849	0.0
1065853	0.0
1065857	0.0
1065861	1.0
1065865	0.0
1065869	0.0
1065873	1.0
1065877	0.0
1065881	0.0
1065885	0.0
1065889	0.0
1065893	0.0
1065897	0.0
1065901	2.0
1065905	1.0
1065909	0.0
1065913	0.0
1065917	0.0
1065921	0.0
1065925	0.0
1065929	0.0
1065933	1.0
1065937	0.0
1065941	0.0
1065945	0.0
1065949	0.0
1065953	0.0
1065957	0.0
1065961	0.0
1065965	0.0
1065969	0.0
1065973	0.0
1065977	0.0
1065981	1.0
1065985	0.0
1065989	0.0
1065993	0.0
1065997	0.0
1066001	0.0
1066005	0.0
1066009	0.0
1066013	0.0
1066017	0.0
1066021	0.0
1066025	0.0
1066029	0.0
1066033	0.0
1066037	0.0
1066041	0.0
1066045	0.0
1066049	0.0
1066053	0.0
1066057	0.0
1066061	0.0
1066065	0.0
1066069	0.0
1066073	0.0
1066077	0.0
1066081	0.0
1066085	0.0
1066089	0.0
1066093	0.0
1066097	0.0
1066101	0.0
1066105	1.0
1066109	0.0
1066113	0.0
1066117	1.0
1066121	0.0
1066125	0.0
1066129	0.0
1066133	0.0
1066137	0.0
1066141	2.0
1066145	1.0
1066149	0.0
1066153	0.0
1066157	0.0
1066161	0.0
1066165	0.0
1066169	0.0
1066173	0.0
1066177	0.0
1066181	0.0
1066185	0.0
1066189	1.0
1066193	0.0
1066197	0.0
1066201	1.0
1066205	1.0
1066209	0.0
1066213	0.0
1066217	0.0
1066221	0.0
1066225	0.0
1066229	0.0
1066233	0.0
1066237	0.0
1066241	0.0
1066245	0.0
1066249	0.0
1066253	0.0
1066257	0.0
1066261	0.0
1066265	0.0
1066269	0.0
1066273	0.0
1066277	0.0
1066281	0.0
1066285	1.0
1066289	1.0
1066293	0.0
1066297	0.0
1066301	0.0
1066305	0.0
1066309	0.0
1066313	0.0
1066317	0.0
1066321	0.0
1066325	0.0
1066329	0.0
1066333	1.0
1066337	0.0
1066341	0.0
1066345	0.0
1066349	2.0
1066353	0.0
1066357	0.0
1066361	0.0
1066365	1.0
1066369	0.0
1066373	0.0
1066377	0.0
1066381	0.0
1066385	0.0
1066389	1.0
1066393	0.0
1066397	0.0
1066401	0.0
1066405	0.0
1066409	0.0
1066413	1.0
1066417	0.0
1066421	0.0
1066425	0.0
1066429	0.0
1066433	0.0
1066437	0.0
1066441	0.0
1066445	0.0
1066449	1.0
1066453	0.0
1066457	0.0
1066461	1.0
1066465	0.0
1066469	0.0
1066473	0.0
1066477	0.0
1066481	0.0
1066485	1.0
1066489	1.0
1066493	0.0
1066497	0.0
1066501	0.0
1066505	0.0
1066509	0.0
1066513	0.0
1066517	0.0
1066521	0.0
1066525	0.0
1066529	0.0
1066533	0.0
1066537	0.0
1066541	0.0
1066545	0.0
1066549	0.0
1066553	0.0
1066557	0.0
1066561	0.0
1066565	0.0
1066569	0.0
1066573	0.0
1066577	0.0
1066581	0.0
1066585	0.0
